caminho_arquivo,classe
data\raw\Healthy Leaves\Healthy Leaves_754.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_51.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_285.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_689.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_978.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_890.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_936.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_297.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1076.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_173.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_338.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_970.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_130.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_493.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_176.jpg,Downy Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_28.jpg,Bacterial Leaf Spot
data\raw\Powdery Mildew\Powdery Mildew_240.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_726.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_909.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_331.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_595.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_712.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_76.jpg,Bacterial Leaf Spot
data\raw\Powdery Mildew\Powdery Mildew_327.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_1166.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_701.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_134.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_465.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_232.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_1146.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_893.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_633.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_848.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_788.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_300.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_295.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1102.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_669.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_552.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_910.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_842.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_606.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_19.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_721.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_535.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_7.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_986.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_484.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_126.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_951.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_790.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_494.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_915.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_518.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_549.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_3.png,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_675.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_96.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_452.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_941.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_887.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_140.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_126.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_608.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_185.jpg,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_239.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_887.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_561.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_813.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_17.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_661.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_242.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_170.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_756.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_898.png,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_461.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_469.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_350.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_312.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_447.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_760.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_841.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_977.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_388.JPG,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_693.jpg,Downy Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_27.jpg,Bacterial Leaf Spot
data\raw\Healthy Leaves\Healthy Leaves_1112.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1003.png,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_42.JPG,Bacterial Leaf Spot
data\raw\Healthy Leaves\Healthy Leaves_118.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_399.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_948.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_606.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_777.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_35.JPG,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_264.jpg,Downy Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_63.jpg,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_34.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_677.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_937.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_792.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_291.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_901.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_160.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_959.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_728.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_11.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_657.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_739.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_135.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_616.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_871.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_957.png,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_213.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_146.JPG,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_71.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_451.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_335.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_5.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_478.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_383.JPG,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_684.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_358.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_623.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_523.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_399.JPG,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_407.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_539.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_908.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_84.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_92.png,Bacterial Leaf Spot
data\raw\Healthy Leaves\Healthy Leaves_276.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_395.png,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_245.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_598.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_773.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_594.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_164.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_800.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_6.jpg,Downy Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_55.jpg,Bacterial Leaf Spot
data\raw\Healthy Leaves\Healthy Leaves_967.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_148.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_367.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_21.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1133.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_390.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_46.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1202.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_472.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_559.JPG,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_806.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_255.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_83.jpg,Bacterial Leaf Spot
data\raw\Healthy Leaves\Healthy Leaves_44.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_776.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_608.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_10.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_329.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_712.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_817.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_837.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_73.jpg,Bacterial Leaf Spot
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_100.png,Bacterial Leaf Spot
data\raw\Powdery Mildew\Powdery Mildew_284.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_720.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_567.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_297.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_116.jpg,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_338.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_202.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_464.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_646.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_530.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_822.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1028.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1050.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_823.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_228.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_676.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_911.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_110.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_102.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_359.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_74.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_27.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_445.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_825.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_513.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_839.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1201.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_91.JPG,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_80.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_647.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_331.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_725.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_615.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_225.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_935.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_186.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_128.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_920.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_57.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_47.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_1054.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_231.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1254.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1000.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_82.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_366.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_357.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_209.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_123.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_332.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_711.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_768.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_680.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_203.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_1111.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1143.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_586.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1018.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_540.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_149.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_1021.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_242.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_558.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_89.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_534.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_392.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_836.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1157.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_40.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_313.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_929.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_404.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_438.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_353.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_29.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_811.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_511.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_516.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_795.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_867.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_708.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_465.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_129.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_822.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_551.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_320.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_92.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_49.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1083.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_61.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_225.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_909.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_38.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_76.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_473.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_341.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_352.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_554.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_514.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_457.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_863.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_335.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_472.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_315.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_883.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_374.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_359.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_693.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_768.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_45.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_469.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_551.jpg,Downy Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_10.jpg,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_252.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_71.jpg,Powdery Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_88.png,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_673.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_77.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_756.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_88.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_649.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_919.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_619.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1194.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_106.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_505.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_351.jpg,Powdery Mildew
